txn_id,src,dest,edge_type,amount,currency,is_fraudulent,time_since_previous_transaction,timestamp,transaction_type,name,mobile_number,pincode,narration,transaction_hour,is_weekend,is_odd_hour,tx_count_last_1hr,is_fast_transaction,city,is_high_risk_city,account_type,account_number,avg_amount_per_user,amount_deviation,dest_count_ratio,tx_count_per_user,is_just_below_threshold,structuring_count,is_structuring,unique_dest_count,is_mule_node,unique_tx_types,is_cross_channel,dest_is_routing_node,routing_depth,fraud_category,src_account_category,src_age_group,src_business_category,src_creation_date,src_gender,src_incorporation_year,src_institution_id,src_is_fraudulent,src_is_high_risk_category,src_name,src_node_type,src_number_of_employees,src_occupation,src_risk_score,dest_account_category,dest_age_group,dest_business_category,dest_creation_date,dest_gender,dest_incorporation_year,dest_institution_id,dest_is_fraudulent,dest_is_high_risk_category,dest_name,dest_node_type,dest_number_of_employees,dest_occupation,dest_risk_score
1,account_1633,account_1183,transaction,23096.37,INR,False,2255.2160144940653,2025-11-26 04:09:00,TransactionType.TRANSFER,Mitesh Bahl,9940734238,751001,UPI payment to Kaur-Pradhan,18,0,0,2255.2160144940653,0,Bhubaneswar,0,Salary,INSAL-5643-25523938,58776.14930232558,0.3929481146015049,0.10491431265679187,86,0,0,0,3,0,1,0,0,1,normal,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_3,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
2,account_3510,account_2831,transaction,216477.11,INR,True,14.217566530154086,2025-12-24 23:00:00,TransactionType.TRANSFER,Wishi Chakraborty,9780179345,380058,IMPS txn ref Arora-Gandhi,22,0,1,14.217566530154086,1,Ahmedabad,1,Savings,INSAV-8841-98094790,12015.925235069886,99.49117826955785,6.184406386562113,787,0,11,1,5,1,2,1,1,8,mule_network,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_5,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_2,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
3,account_1610,account_1281,transaction,2966.76,INR,False,939.6736258608679,2025-04-20 23:49:00,TransactionType.PAYMENT,Ekavir Parsa,9617754979,751001,Salary credit from Sandhu-Vasa,11,0,0,939.6736258608679,0,Bhubaneswar,0,Salary,INSAL-3104-30272111,78525.04718181818,0.03778058499660378,0.2363793103754126,110,0,1,0,3,0,1,0,0,2,normal,Loan,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_6,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_11,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
4,account_1348,account_1284,transaction,2768.02,INR,False,1968.343403887394,2025-08-15 17:24:00,TransactionType.PAYMENT,Bina Chanda,9755568959,456550,"Salary credit from Khosla, Deep and Khu",12,1,0,1968.343403887394,0,Shajapur,0,Current,INCUR-2472-19751584,53955.15736842105,0.05130128116981215,0.2544766247488242,133,0,1,0,1,0,1,0,0,2,normal,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Loan,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_18,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
5,account_4173,account_2303,transaction,68321.62,INR,True,50.01675992641643,2025-12-31 17:56:00,TransactionType.TRANSFER,Amol Ravel,9267909995,500010,"IMPS txn ref Saran, Datta and Set",23,1,1,50.01675992641643,1,Hyderabad,1,Savings,INSAV-8837-87066526,20557.545725806453,10.963763644956659,7.140497260770446,496,0,4,1,18,1,2,1,1,6,mule_network,Savings,unknown,unknown,2024-10-28 07:49:11,unknown,,institution_13,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
6,account_1845,account_1205,transaction,12424.8,INR,False,2026.2054892571307,2025-08-25 20:53:00,TransactionType.TRANSFER,Rushil Buch,9143704337,751001,EMI deduction - Ranganathan-Toor,12,0,0,2026.2054892571307,0,Bhubaneswar,0,Current,INCUR-6597-15538214,25857.155149253733,0.4804983158420944,0.21865933159027276,134,0,1,0,3,0,1,0,0,2,normal,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_17,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_7,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
7,account_3078,account_4242,transaction,9249.82,INR,False,3437.4610698662123,2025-02-03 08:34:00,TransactionType.PAYMENT,Ekaraj Chacko,9839336112,841226,"Salary credit from Chaudhuri, Bhasin an",17,1,0,3437.4610698662123,0,Siwan,0,Wallet,INWLT-2535-88383841,13476.960247191011,0.6862922749700042,0.5256166334541791,445,0,1,0,3,0,1,0,0,1,normal,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_8,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Loan,unknown,unknown,2020-01-25 20:11:48,unknown,,institution_5,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
8,account_4365,account_1986,transaction,26392.66,INR,False,2272.3061151843067,2025-10-20 16:44:00,TransactionType.TRANSFER,Omisha Gokhale,9390939381,841301,UPI payment to Mutti-Karnik,23,0,1,2272.3061151843067,0,Siwan,0,Current,INCUR-2080-34862620,101237.96206896551,0.2606966671785999,0.23528095811323152,145,0,1,0,2,0,1,0,0,1,normal,Savings,unknown,unknown,2023-05-24 19:12:14,unknown,,institution_8,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_5,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
9,account_4347,account_4391,transaction,66409000.0,INR,False,2058.8787350123002,2025-03-19 10:33:02,TransactionType.PAYMENT,Manthan Bose,9955727617,456001,Online purchase at Hayre-Sunder,23,0,1,2058.8787350123002,0,Ujjain,0,Salary,INSAL-9547-11908496,749213.7501973684,88.63813743990708,0.28300044677194514,152,0,1,0,3,0,1,0,0,1,normal,Loan,unknown,unknown,2017-03-24 11:23:19,unknown,,institution_3,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Savings,unknown,unknown,2024-12-10 00:00:00,unknown,,institution_1,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
10,account_3811,account_1190,transaction,13108.17,INR,False,1559.5810497004757,2025-07-01 12:20:00,TransactionType.PAYMENT,Tejas Mangat,9163032955,341001,NEFT transfer - Bhargava and Sons,17,1,0,1559.5810497004757,0,Nagaur,0,Current,INCUR-3352-28203638,30570.426036036035,0.4287719514473665,0.24384204888256333,111,0,0,0,1,1,1,0,0,2,normal,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
